CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID
C32,MAP2K_1,TKI,3,3,2.004712602,3.2014598,53.71326404,0.125881768,1.2358164,21.74533956,26.51374,1,MAP2K_1.TKI
NCI-H1793,IAP,PIK3C,3,3,0.653750903,0.9234251,1.80183464,3,0.4234064,41.72028632,26.44613,1,IAP.PIK3C
SW837,IGFR_4,MAP2K_1,3,10,0.225989513,0.5966184,42.27113702,0.996176169,0.5951728,0,26.3871,1,IGFR_4.MAP2K_1
UACC-812,AKT,AKT_1,1,1,1,0,100,1,0,100,26.35574,-3,AKT.AKT_1
M14,AKT,TNKS_PARP6,1,1,0.008335213,2.1715306,19.01688898,0.301115665,10,45.99947586,26.30001,1,AKT.TNKS_PARP6
NCI-H747,MAP2K_1,TKI,3,3,0.499229258,1.4390971,82.65406003,0.260372341,0.76582,21.72135988,26.29952,1,MAP2K_1.TKI
J82,Cisplatin,FGFR,3,3,0.110032707,0.6090245,48.99912325,0.409707775,1.2620109,2.24629875,26.2576,1,Cisplatin.FGFR
BT-474,AKT,CSNK2A1_2,0.1,3,0.009639842,9.0146634,24.04803766,0.264338599,2.1438601,7.76795249,26.24696,-1,AKT.CSNK2A1_2
HCC1187,ESR1,MAP2K_1,1,1,0.499980864,0.5610505,21.41715234,1,0,100,26.22214,1,ESR1.MAP2K_1
CAL-148,MAP2K_1,PIM1,1,1,0.016995069,2.6112368,83.94706846,1.00E-04,0.1,79.24702026,26.20163,1,MAP2K_1.PIM1
SW780,HSP90,MAP2K_1,3,0.3,1.122685639,10,60.69787557,0.3,10,9.60019002,26.17331,1,HSP90.MAP2K_1
NCI-H3122,ALK,MTOR_1,3,3,0.305003937,10,14.54960029,0.035031803,10,0,26.15859,-2,ALK.MTOR_1
MDA-MB-157,MAP2K_1,SLC16A4,1,1,1,10,92.40015577,1,0.5157429,37.09716982,26.04463,1,MAP2K_1.SLC16A4
TCCSUP,HDAC_4,PARP1,3,3,3,0.4136159,30.92342201,0.649386723,0.9926481,0,26.04315,1,HDAC_4.PARP1
DMS-114,ALK_2,PIK3CB,3,3,3,0.4596326,55.64931671,3,0.3132739,2.28547435,26.01248,1,ALK_2.PIK3CB
MDA-MB-157,FGFR,TNKS_PARP6,1,1,0.01349416,2.353106,15.03297001,0.028904341,10,37.83324578,25.96628,1,FGFR.TNKS_PARP6
MDA-MB-231,BCL2_BCL2L1,FASN,1,1,0.324226066,10,92.6999006,1,0.7587807,17.16523206,25.91807,1,BCL2_BCL2L1.FASN
UM-UC-3,AKT,Cisplatin,3,3,1.328584618,2.5365067,0,1.085111181,10,87.59952288,25.82214,1,AKT.Cisplatin
NCI-H3122,PIM1,TOP2_2,3,3,0.216809307,1.2845056,0,1,0,100,25.8169,1,PIM1.TOP2_2
HCC1500,ESR1_3,MTOR_1,1,1,0.070321886,1.2454405,6.67130253,0.018874078,1.3595734,9.34196997,25.79427,1,ESR1_3.MTOR_1
NCI-H522,AKT,CSNK2A1_2,0.03,3,0.003040817,10,7.34964368,0.175966979,0.4201401,0,25.75817,1,AKT.CSNK2A1_2
NCI-H1703,BCL2L1,IAP,0.01,3,0.000481144,1.8191483,19.49257869,3.00E-04,0.1,89.17994467,25.72953,1,BCL2L1.IAP
647-V,BCL2_BCL2L1,MAP2K_1,1,3,0.325998104,4.1234556,83.13596479,1.129252576,1.0653237,46.56226842,25.703,1,BCL2_BCL2L1.MAP2K_1
MCF7,BRAF_M2,MAP2K_3,0.3,3,0.003152153,1.1059696,74.77229362,1.066716664,10,84.29946903,25.68089,-1,BRAF_M2.MAP2K_3
HCC1143,ERBB,FGFR,1,1,1,0.1079868,84.57075287,0.019325649,0.6523542,55.63633761,25.63454,1,ERBB.FGFR
MDA-MB-361,ESR1_1,MTOR_1,1,3,0.295102732,0.9516441,25.79097005,3,0.1934133,51.74956641,25.57379,1,ESR1_1.MTOR_1
A549,ALK,EGFR_2,1,3,1,0,100,1.479930367,2.699951,0,25.55663,1,ALK.EGFR_2
BT-20,AKT_1,BCL2_2,3,3,3,10,83.80069151,0.957644142,1.4871023,39.63998689,25.53357,1,AKT_1.BCL2_2
NCI-H358,ATR_4,IAP,3,3,0.000300027,6.7577082,89.64000002,3,2.5244243,47.20078136,25.45322,1,ATR_4.IAP
NCI-H1563,ALK,PIK3C,3,3,2.709693555,1.2506856,0,1.045143942,2.0110063,0,25.41691,-1,ALK.PIK3C
BT-474,AKT_1,ESR1_1,3,3,3.00E-04,0.1,39.39624018,0.187816725,1.4623649,6.41500222,25.40946,1,AKT_1.ESR1_1
CAL-120,MTOR_1,TNKS_PARP6,1,1,0.009341347,0.8963948,45.61393935,0.172780898,0.8226364,31.07392692,25.40705,1,MTOR_1.TNKS_PARP6
NCI-H226,Doxorubicin,TOP2,3,0.03,3,1.2181448,0.32999186,0.008364852,1.2440558,0,25.39046,1,Doxorubicin.TOP2
NCI-H23,IAP,Vinorelbine,0.1,1,0.024526972,2.3997465,9.72076538,0.006941276,0.8610307,45.66677634,25.38014,1,IAP.Vinorelbine
VM-CUB-1,PARP1,PIK3C,3,3,3,3.0056465,1.81419798,1,0,100,25.35557,1,PARP1.PIK3C
HCC1395,MAP2K_3,PIK3C,3,0.3,1.127647478,0.648958,0,0.001298923,0.1,17.05295687,25.35105,1,MAP2K_3.PIK3C
NCI-H1299,ALK_2,TOP2,3,3,3,0.6716179,24.87384617,0.034903896,0.6428151,71.51545835,25.34337,1,ALK_2.TOP2
UM-UC-3,Cisplatin,PARP1,3,3,3,1.0422456,61.72682727,1.341750458,2.6224512,0,25.22937,1,Cisplatin.PARP1
HCC1395,BCL2_BCL2L1,EGFR,0.1,1,1,0,100,1,0,100,25.22752,1,BCL2_BCL2L1.EGFR
LS-513,IGFR_3,TKI,3,10,0.923072419,2.4345542,65.99144381,0.265471511,2.4592881,12.98538057,25.20136,1,IGFR_3.TKI
SW900,BCL2,CSNK2A1_2,0.01,3,0.002591265,1.6676651,25.82409256,0.13380099,0.7217774,37.07073551,25.16221,1,BCL2.CSNK2A1_2
SW780,IAP,TNF,0.03,0.03,0.03,0.2076723,18.51090389,0.001771964,0.768588,48.35914734,25.07083,1,IAP.TNF
MDA-MB-157,PARP1,PIK3C,1,3,0.037009349,2.1024215,73.51289771,1.207575592,0.7909182,0,24.96887,1,PARP1.PIK3C
MDA-MB-231,FASN,MAP2K_1,1,1,0.398821453,1.3481003,36.01641198,1,0,100,24.94119,1,FASN.MAP2K_1
MCF7,AKT,Chloroquine,1,1,1,0,100,0.335637982,10,71.89948929,24.88766,1,AKT.Chloroquine
LS-513,IGFR_3,MAP2K_1,0.3,10,0.082529236,1.1586487,17.22806241,0.381049891,1.3839774,6.55849877,24.84664,1,IGFR_3.MAP2K_1
NCI-H226,IAP,PIK3CA_3,3,3,3,0.4772015,7.20734585,3.00E-04,0.1489994,15.88533355,24.7168,1,IAP.PIK3CA_3
HCC1500,HSP90,MAP2K_1,1,1,1,0.6037618,44.73230302,0.075740191,1.9758545,0,24.67497,1,HSP90.MAP2K_1
647-V,MAP2K_1,PIM1,3,1,1,0,100,0.203779403,1.3895374,77.48001727,24.60826,1,MAP2K_1.PIM1
A549,ALK_2,TOP2,3,3,3.00E-04,0.1,89.4746474,3,1.5085225,40.92765593,24.53776,1,ALK_2.TOP2
HCC70,Chloroquine,PIK3C,3,10,0.916835805,10,40.79954565,1,0,100,24.48868,-1,Chloroquine.PIK3C
HCC1954,MAP2K_1,PIK3C,3,3,0.796673143,1.5667777,2.44912794,2.14209445,0.2513066,0,24.47396,1,MAP2K_1.PIK3C
HCC1569,BRAF_M2,MAP2K_1,3,3,3.00E-04,0.1,72.40113494,0.004632136,0.2312904,65.08473665,24.46243,1,BRAF_M2.MAP2K_1
SW780,AKT,TNF,0.03,3,0.03,0.2631948,2.24046635,0.547330645,1.1936284,20.2577313,24.32147,1,AKT.TNF
HCC1143,PIK3C,PIM1,1,1,1,0,100,0.223666937,2.0908292,58.33276314,24.2367,1,PIK3C.PIM1
MDA-MB-415,Chloroquine,PIK3C,3,10,1.026142476,10,43.09871647,1,0,100,24.19537,1,Chloroquine.PIK3C
NCI-H23,AKT,CSNK2A1_2,0.1,3,0.006210403,1.1627392,5.59894814,0.349213203,0.3620847,0,24.16315,1,AKT.CSNK2A1_2
NCI-H2170,IAP,TOP2_2,3,3,1.319645045,1.0121429,0,3,0.3266155,49.75959457,24.07999,1,IAP.TOP2_2
MDA-MB-157,BCL2_BCL2L1,FGFR,1,1,0.037093032,2.8484106,38.6222167,1,0,100,24.03855,1,BCL2_BCL2L1.FGFR
NCI-H3122,ALK,PIK3C,1,3,0.311263262,1.7261215,43.78190259,0.047872319,2.8365731,0,23.94169,1,ALK.PIK3C
HCC1428,AKT_SGK,BCL2_BCL2L1,1,1,0.092586928,0.8889904,2.6446249,0.01090499,10,88.17492912,23.92928,1,AKT_SGK.BCL2_BCL2L1
NCI-H2085,IAP,TOP2_2,3,3,1.146190105,0.7098795,0,0.873266175,0.278107,0,23.87985,1,IAP.TOP2_2
NCI-H2228,ALK_2,MTOR_1,3,3,0.089945009,0.6305347,7.31166016,0.004878268,0.3015148,3.92329466,23.83431,1,ALK_2.MTOR_1
HT-1197,MAP2K_1,MTOR_1,3,1,0.626145575,1.9684974,40.47577545,0.23200158,10,87.19535872,23.74794,1,MAP2K_1.MTOR_1
HCC1937,AKT,EGFR,0.1,1,0.004057102,0.5411439,76.98863341,0.135855927,0.9391834,65.83930223,23.68558,1,AKT.EGFR
TCCSUP,ERBB,MTOR_1,1,3,0.929227732,1.0086034,2.16904082,3,0.2289638,79.39253192,23.59868,1,ERBB.MTOR_1
RKO,IGFR_4,MAP2K_1,3,10,2.080938447,0.8100238,8.49898038,3.112918366,4.2651449,12.30018804,23.57056,1,IGFR_4.MAP2K_1
J82,AKT,ERBB,3,3,3.00E-04,0.1,86.13549347,1.505053852,0.7122453,0,23.4819,1,AKT.ERBB
NCI-H747,BCL2,MAP2K_1,3,3,0.075656972,0.8743344,32.23323583,1.4498818,1.1049575,0,23.4814,1,BCL2.MAP2K_1
NCI-H2291,ATR_4,CarboTaxol,0.3,3,0.004499537,1.1127224,53.21374427,1.307301398,10,48.58730825,23.43637,1,ATR_4.CarboTaxol
T47D,ESR1_1,MTOR_1,1,3,0.102130701,1.095705,20.05783043,3.00E-04,0.1,31.63280982,23.26164,1,ESR1_1.MTOR_1
BFTC-905,Cisplatin,FGFR,3,3,3,0.3647978,19.4656817,0.659356921,2.2908871,0.21434784,23.23026,1,Cisplatin.FGFR
CAMA-1,Chloroquine,PIK3C,3,10,1.119592195,10,34.89658746,1,0,100,23.1871,1,Chloroquine.PIK3C
HCC1395,MAP2K_1,SLC16A4,1,1,1,0,100,0.203339411,2.8054011,87.19860058,23.11047,1,MAP2K_1.SLC16A4
NCI-H838,ALK,EGFR_2,1,3,1,0,100,0.949170215,1.8591189,0,23.09169,1,ALK.EGFR_2
NCI-H1437,ALK_2,PIK3CB,3,3,3,0.4412866,57.93666447,0.840426396,0.7084732,0,23.06369,1,ALK_2.PIK3CB
HCC1143,AKT_1,EGFR,0.1,1,0.002285489,1.0904982,65.65144773,1,0.4602867,48.66711623,23.01569,1,AKT_1.EGFR
HCC1395,AKT,ERBB,1,1,1,0,100,0.338840391,1.3264009,46.88858622,23.01357,1,AKT.ERBB
BT-549,PARP1,PIK3CB_PIK3CD,1,3,0.328683357,0.5884549,12.33608963,3,1.9842266,32.40931389,22.9615,1,PARP1.PIK3CB_PIK3CD
BT-549,AKT_1,PIK3C,1,1,0.29092323,1.5991604,23.47058745,0.852347706,0.6854461,0,22.94989,1,AKT_1.PIK3C
SW900,PIM1,TOP2_2,3,3,0.428542576,1.7293227,16.34220674,1.157255922,10,93.09949568,22.93148,-1,PIM1.TOP2_2
J82,Cisplatin,HDAC_4,3,3,1.316501546,1.5015177,0,0.526368645,1.4228568,1.78842922,22.90047,1,Cisplatin.HDAC_4
BT-549,PIK3C,PIM1,1,1,0.384170149,1.4920812,74.60700316,0.298311991,1.552718,32.24135124,22.86808,1,PIK3C.PIM1
CAL-148,FASN,MAP2K_1,1,1,0.051272701,0.5961554,85.30271578,1,0,100,22.76802,1,FASN.MAP2K_1
HCC38,AKT_1,EGFR,0.1,1,1,0,100,1,0,100,22.76305,1,AKT_1.EGFR
BT-20,PARP1,PIK3C,1,3,0.798021795,0.7068277,0,3,0.334398,56.83461075,22.76175,1,PARP1.PIK3C
Hs-578-T,BCL2_BCL2L1,PIM1,1,1,0.315439039,10,82.49976219,0.308644181,10,84.39980659,22.63242,1,BCL2_BCL2L1.PIM1
DU-4475,PARP1,PIK3CB_PIK3CD,1,3,0.320706946,10,65.19956411,1.413509181,0.5655799,0,22.62157,1,PARP1.PIK3CB_PIK3CD
MDA-MB-157,AKT_1,PIK3C,1,1,0.043258688,0.8063806,62.94604569,1,0.2281645,50.53222965,22.51686,1,AKT_1.PIK3C
MCF7,AKT_1,BCL2_2,3,3,1.171939597,0.6460675,0,0.081327356,1.1727421,30.99713675,22.46324,1,AKT_1.BCL2_2
A549,BCL2L1,CarboTaxol,0.01,3,0.002484574,10,16.4974206,0.01311055,0.4780745,14.51963396,22.42314,1,BCL2L1.CarboTaxol
NCI-H522,ATR_4,CarboTaxol,0.01,3,0.00256027,10,10.59730886,3,0.8889414,29.54117795,22.37053,1,ATR_4.CarboTaxol
BT-20,ERBB,PIK3CA_4,1,1,0.221478661,1.3825472,61.11384102,0.287679001,3.5108834,74.28126852,22.22986,1,ERBB.PIK3CA_4
KU-19-19,HSP90,MAP2K_1,3,3,0.985978692,10,30.49895873,0.25664067,10,8.54565611,22.13687,-1,HSP90.MAP2K_1
DU-4475,AKT,PIK3CA_4,1,1,0.504695649,1.0092727,0,0.381480878,10,54.19700951,22.08577,1,AKT.PIK3CA_4
NCI-H2085,BCL2,CSNK2A1_2,0.03,3,0.012434981,0.83565,0,1.312273713,1.5414195,13.99286917,22.06791,1,BCL2.CSNK2A1_2
NCI-H1793,CarboTaxol,CSNK2A1_2,0.1,0.01,0.011655223,2.5616192,10.57139581,0.002328705,10,18.08756972,22.0403,1,CarboTaxol.CSNK2A1_2
HCC1937,MAP2K_1,PIM1,1,1,1,0.3306653,64.38427757,0.071536751,0.737307,75.65137411,22.03986,1,MAP2K_1.PIM1
BT-549,MAP2K_1,PIM1,1,1,0.022135217,0.6466811,71.61540999,0.014322326,1.4189195,83.39300345,22.0379,1,MAP2K_1.PIM1
NCI-H2291,CHEK1,IAP,3,1,0.85851605,10,74.79904597,0.199710069,2.3361085,14.20267663,22.00043,1,CHEK1.IAP
HCC38,MAP2K_1,PIM1,1,1,1,0,100,0.146409431,10,88.39664465,21.9704,1,MAP2K_1.PIM1
MDA-MB-157,PARP1,PIK3CB_PIK3CD,1,3,1,0.4338596,13.81060184,0.980042155,0.8392946,0,21.95086,1,PARP1.PIK3CB_PIK3CD
NCI-H226,Doxorubicin,IAP,3,0.03,3.00E-04,0.1,5.72548748,0.007950267,1.135588,1.09258855,21.94816,1,Doxorubicin.IAP
MFM-223,MTOR_1,PIK3CA_4,1,1,0.249242678,1.1141289,30.64674664,0.199827677,1.4053835,17.771699,21.9132,1,MTOR_1.PIK3CA_4
TCCSUP,ERBB,IAP,0.03,3,0.000514951,0.2972573,61.17245785,3,0.1308894,75.25485677,21.87748,1,ERBB.IAP
NCI-H358,CSNK2A1_2,PIK3CA_3,3,0.1,0.784384646,4.8130651,78.76662383,0.01090093,3.3311322,15.73507229,21.87577,1,CSNK2A1_2.PIK3CA_3
A549,BCL2,CarboTaxol,0.01,3,0.002766467,10,17.79934711,0.107295795,0.971985,7.20702622,21.7906,-2,BCL2.CarboTaxol
HCC1937,FGFR,TNKS_PARP6,1,1,0.060135137,1.2628159,53.66807801,1,0,100,21.77643,-3,FGFR.TNKS_PARP6
CAL-120,MAP2K_1,PIM1,1,1,1,0,100,1,10,62.40002844,21.77097,1,MAP2K_1.PIM1
NCI-H1703,BRAF_M,MAP2K_1,3,3,1,0,100,3,10,90.00037263,21.76308,1,BRAF_M.MAP2K_1
Hs-578-T,AKT,FGFR,1,1,1.00E-04,0.1,84.43386526,0.276143847,3.8668361,55.49138746,21.75473,1,AKT.FGFR
647-V,HSP90,PARP1,3,3,3,1.1963294,75.3085666,0.136081654,3.5530797,4.05978968,21.63577,1,HSP90.PARP1
NCI-H2228,BCL2,Topotecan,0.1,3,0.062301606,1.1812179,0,2.012226846,1.1896243,0,21.5562,1,BCL2.Topotecan
Hs-578-T,FGFR,MTOR_1,1,1,0.329906753,1.2506956,12.271682,1,0,100,21.52029,1,FGFR.MTOR_1
T47D,AKT,BCL2L1,3,3,0.161468474,5.3007291,92.00317472,0.146388742,1.393379,31.90377928,21.49142,1,AKT.BCL2L1
HCC1806,PARP1,PIK3CB_PIK3CD,1,3,0.33265274,10,91.99985375,1.822096724,0.9352722,0,21.40489,1,PARP1.PIK3CB_PIK3CD
MDA-MB-157,FGFR,SLC16A4,1,1,1,10,85.60012775,0.040570255,1.2232139,28.75628893,21.40012,1,FGFR.SLC16A4
BT-20,MTOR_1,PIK3CA_4,1,1,0.660712545,0.7207816,21.12277541,0.231280374,2.170181,27.18090693,21.35294,1,MTOR_1.PIK3CA_4
MDA-MB-157,BRAF_M2,MAP2K_3,0.3,3,0.173057615,0.2197455,0,1.438426523,0.2735638,42.90651889,21.29198,1,BRAF_M2.MAP2K_3
SW780,FGFR,WNT,3,3,0.329743583,1.456035,0,0.633499849,0.4530021,0,21.28395,1,FGFR.WNT
HT-29,BRAF_M,MAP2K_1,3,3,0.147755444,1.0620507,20.78437763,1.074066941,10,64.69877717,21.27462,1,BRAF_M.MAP2K_1
HT-1197,ATR_4,IAP,3,3,3,2.6619272,3.20296874,3,10,33.40047421,21.26834,1,ATR_4.IAP
J82,FGFR,MTOR_1,3,3,0.498238315,1.1210478,17.92678473,3,0.363919,8.81156332,21.13484,1,FGFR.MTOR_1
NCI-H2228,CSNK2A1_2,Gemcitabine,0.03,0.1,0.00299526,1.4151096,4.74491973,0.060909505,1.1126927,0,21.12582,1,CSNK2A1_2.Gemcitabine
NCI-H520,IAP,PIK3C,1,3,0.234328914,3.2657106,39.97939404,1,0,100,21.10739,1,IAP.PIK3C
NCI-H1703,ALK_2,PIK3CB,3,3,1.729328496,0.5803739,0,1.472227846,1.7735331,0,20.98278,1,ALK_2.PIK3CB
NCI-H1703,AKT,CSNK2A1_2,0.1,3,0.010632726,3.2111803,11.33381982,0.006865193,0.6639496,9.70857688,20.9673,1,AKT.CSNK2A1_2
DU-4475,AKT_1,PIK3C_2,1,1,0.143714392,1.3256186,0,0.231330449,0.9797281,0,20.95919,1,AKT_1.PIK3C_2
NCI-H3122,ALK,CSNK2A1_2,0.1,3,0.007475668,2.8048132,0,0.064194828,4.1288531,0,20.94201,-2,ALK.CSNK2A1_2
HCC1937,AKT_SGK,MAP2K_1,1,1,1,0.2944549,63.94641276,0.492970233,0.5662306,48.52464206,20.91369,1,AKT_SGK.MAP2K_1
NCI-H1563,BRAF_M2,MAP2K_3,0.3,3,0.035436429,0.4704093,0,3,10,56.00235704,20.85179,-1,BRAF_M2.MAP2K_3
HT-1197,PARP1,PIK3CB_PIK3CD,3,3,3,10,54.00025059,3,0.5192992,14.67597148,20.68262,1,PARP1.PIK3CB_PIK3CD
HCC1806,MAP2K_1,SLC16A4,1,1,1,0,100,0.230683554,1.8365541,38.24376905,20.66885,1,MAP2K_1.SLC16A4
Calu-6,BCL2,Topotecan,0.1,3,0.035572122,2.7260759,36.83563221,1.658787947,0.5837979,14.95974375,20.66254,1,BCL2.Topotecan
UM-UC-3,BCL2_BCL2L1,Gemcitibine,0.1,3,0.007885805,2.981845,1.89304711,1.561061863,0.5379427,17.88590438,20.64784,1,BCL2_BCL2L1.Gemcitibine
NCI-H747,IAP,PARP1,10,1,1.704920372,0.5941127,28.79123263,0.79916182,0.2337676,0,20.63351,1,IAP.PARP1
VM-CUB-1,HSP90,MAP2K_1,3,0.3,1.033748683,0.9141192,73.84541383,0.212173558,3.6183885,0,20.60828,-3,HSP90.MAP2K_1
NCI-H358,PIK3CB,Topotecan,0.1,3,0.030668319,1.86092,26.07598144,0.583034543,10,88.2804403,20.58626,1,PIK3CB.Topotecan
BFTC-905,ATR_4,BCL2_BCL2L1,3,3,0.504078417,0.7310427,54.3154468,1.041598657,10,18.89792382,20.57419,1,ATR_4.BCL2_BCL2L1
CAMA-1,ATR_4,BCL2_BCL2L1,1,1,1,0,100,1,10,37.60010417,20.53447,-1,ATR_4.BCL2_BCL2L1
CAMA-1,Chloroquine,FGFR,1,1,0.064832031,10,91.59885263,1,0,100,20.50806,1,Chloroquine.FGFR
C32,IAP,SN38,0.03,1,0.002109875,3.3233905,2.31499179,0.000112995,7.9788199,10.44,20.48231,1,IAP.SN38
CAL-148,MTOR_1,PIK3C,1,1,0.314328587,10,43.69945599,0.999999999,10,31.80000206,20.43965,1,MTOR_1.PIK3C
HCC1569,AKT_1,Chloroquine,10,3,3.234371695,10,76.89969815,0.978148153,0.4358629,0,20.39265,1,AKT_1.Chloroquine
MDA-MB-453,ESR1_1,MTOR_1,1,3,0.069021477,1.4244908,7.43241608,3,0.9229471,44.00939287,20.34692,1,ESR1_1.MTOR_1
SW780,AKT,HDAC_4,3,3,0.905737563,0.4727892,0,0.213523523,1.8105248,19.75892461,20.32464,1,AKT.HDAC_4
BT-20,AKT,AKT_1,1,1,0.258829507,2.6522928,63.9329888,0.457555312,1.9626393,80.81186035,20.26494,1,AKT.AKT_1
MDA-MB-157,AKT_SGK,BCL2_BCL2L1,1,1,0.249972003,2.9780443,93.80832502,1,10,90.60004258,20.24033,1,AKT_SGK.BCL2_BCL2L1
CAL-51,ALK_IGFR,MTOR_1,1,1,0.243075416,2.0293727,27.53288841,0.349765178,10,85.89961057,20.21112,1,ALK_IGFR.MTOR_1
MDA-MB-453,AKT,Chloroquine,10,3,0.265877254,1.2219601,88.64101648,3,0.3594185,16.82841978,20.20307,1,AKT.Chloroquine
NCI-H3122,IAP,Vinorelbine,0.1,0.3,0.025215873,10,7.69366818,1,0,100,20.19474,1,IAP.Vinorelbine
NCI-H522,Carboplatin,CSNK2A1_2,0.03,3,0.004552515,4.2111218,7.10148029,2.808466488,1.3489433,0,20.15778,1,Carboplatin.CSNK2A1_2
MDA-MB-231,EGFR,MAP2K_1,1,0.1,0.896425302,0.7861114,5.76053412,1,0,100,20.14626,1,EGFR.MAP2K_1
BT-20,AKT_SGK,MAP2K_1,1,1,0.095093735,0.708687,49.51957963,0.616554569,0.8561764,36.60315649,20.09961,1,AKT_SGK.MAP2K_1
KATOIII,FGFR,PIK3C_MTOR,1,0.01,1,0,100,0.004503108,3.2782813,12.75453673,20.0893,1,FGFR.PIK3C_MTOR
NCI-H838,ADAM17,PIK3C,3,10,0.929655943,0.8501371,0,1,0,100,20.0607,1,ADAM17.PIK3C
BT-549,PARP1,PIK3C,1,3,0.607940084,0.8215333,0,3,0.5220587,29.05105837,20.02537,1,PARP1.PIK3C
NCI-H1437,CSNK2A1_2,PIK3CA_3,3,0.1,3,0.4053857,35.42044311,0.009025196,2.9538758,10.85526812,19.86072,1,CSNK2A1_2.PIK3CA_3
HCC1143,AKT,ERBB,1,1,0.015128561,0.6751478,58.03471077,1,0.3290335,47.10975131,19.85155,1,AKT.ERBB
SW948,MAP2K_1,PTK2,3,3,0.324222405,1.2676036,0,0.087893265,1.0223982,8.80808328,19.80967,1,MAP2K_1.PTK2
SW837,IGFR_3,TKI,3,10,1.668103154,1.1113379,44.30186416,10,0.3143486,44.12316146,19.76623,1,IGFR_3.TKI
NCI-H838,PIK3CB,Topotecan,0.3,3,0.083221175,1.6185315,0,3,0.6942182,52.43138108,19.76374,1,PIK3CB.Topotecan
MCF7,BRAF_M2,MAP2K_1,3,3,1,0,100,1,0,100,19.74222,-1,BRAF_M2.MAP2K_1
NCI-H3122,Doxorubicin,IAP,0.3,0.1,0.003662837,1.9563882,73.11300078,0.014646718,2.0826849,7.10326608,19.6624,1,Doxorubicin.IAP
BT-20,AKT_SGK,FGFR,1,1,1,1.5848531,66.77179576,1,1.2620162,21.746171,19.64844,1,AKT_SGK.FGFR
TCCSUP,Cisplatin,PARP1,3,3,3,0.8254665,24.20736736,0.45810397,2.0241478,12.69844859,19.62715,1,Cisplatin.PARP1
MDA-MB-361,ESR1_3,MTOR_1,1,3,0.144848021,1.3223668,36.19581605,0.066283365,0.5966194,76.33129405,19.57296,1,ESR1_3.MTOR_1
M14,AKT_1,BCL2_BCL2L1,1,1,0.035530311,0.7471279,14.98180494,0.276115373,10,86.49988504,19.4639,1,AKT_1.BCL2_BCL2L1
HCC1937,MAP2K_1,PIK3C,1,1,0.222158611,1.284643,60.84537845,1,0.4340813,56.5089461,19.42189,1,MAP2K_1.PIK3C
MCF7,MTOR_1,PIK3C,3,1,0.175039128,0.7958656,0,0.075055315,2.0708999,11.75112282,19.36093,1,MTOR_1.PIK3C
BT-549,BCL2_BCL2L1,MAP2K_1,1,1,0.110053864,0.7629776,86.23786178,0.30952187,10,85.79984277,19.35662,1,BCL2_BCL2L1.MAP2K_1
BT-20,EGFR,FGFR,1,0.1,1,10,88.00002132,0.021527837,1.8314489,88.8320322,19.19952,1,EGFR.FGFR
Hs-578-T,AKT_SGK,BCL2_BCL2L1,1,1,1,0.3618156,71.62146764,0.179870453,1.5255034,34.63459522,19.10105,1,AKT_SGK.BCL2_BCL2L1
NCI-H3122,BCL2L1,CarboTaxol,0.01,3,0.002256463,3.195482,0,0.031760434,1.4098405,70.7315226,19.0957,-3,BCL2L1.CarboTaxol
MDA-MB-468,AKT_SGK,BCL2_BCL2L1,1,1,1,0.6966414,36.60540618,0.374381615,1.7026843,50.39277948,18.89769,1,AKT_SGK.BCL2_BCL2L1
MDA-MB-231,MAP2K_1,PIM1,1,1,0.128338944,4.2070369,91.88884534,0.539326594,0.9928565,26.61818699,18.82947,1,MAP2K_1.PIM1
CAL-51,FGFR,MTOR_1,1,1,0.29715086,1.3447018,7.70769574,1,0.297191,71.49810509,18.78778,1,FGFR.MTOR_1
NCI-H2170,Doxorubicin,IAP,3,0.1,0.052064911,0.8087504,75.25475816,0.1,0.7344699,11.68191998,18.70155,1,Doxorubicin.IAP
MDA-MB-468,ATR_4,BCL2_BCL2L1,1,1,0.257970488,1.2466619,58.5029647,0.383291126,10,78.59853494,18.67573,1,ATR_4.BCL2_BCL2L1
MCF7,AKT_1,BCL2L1,3,3,0.232634265,2.1381548,86.61558194,0.17704523,0.4382804,19.59474044,18.67458,1,AKT_1.BCL2L1
HCC70,ESR1_1,PIK3C,3,3,0.579739756,1.4813992,7.21307531,0.103232428,10,78.86650316,18.45182,1,ESR1_1.PIK3C
MDA-MB-436,AKT_1,EGFR_2,3,3,0.171279674,10,91.89111869,3,0.4279361,60.00786677,18.44421,1,AKT_1.EGFR_2
BT-20,AKT,Chloroquine,3,3,1.06645316,10,79.09931596,0.352249266,1.282071,22.80708297,18.41805,1,AKT.Chloroquine
MDA-MB-231,FGFR,MTOR_1,1,1,0.347292964,1.4256854,36.12757031,1,0,100,18.34433,1,FGFR.MTOR_1
HCC1187,BCL2_BCL2L1,PIM1,1,1,0.041326636,1.2274187,75.83361082,1,0,100,18.33449,1,BCL2_BCL2L1.PIM1
LS-513,MAP2K_1,PTK2,3,0.3,0.440354627,1.9863872,8.04168162,0.122279654,1.5096253,16.63481322,18.32364,1,MAP2K_1.PTK2
NCI-H747,BRAF_M2,MAP2K_1,0.1,3,0.085209655,0.4390137,0,1.726417704,0.6399175,0,18.31925,1,BRAF_M2.MAP2K_1
