CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,A_HBA,A_cLogP,A_HBD,A_Lipinski,A_MW,A_ALogP/XLogP,A_PSA,A_#RotBonds,A_Arom Rings,A_Heavy atoms,A_QED,B_HBA,B_cLogP,B_HBD,B_Lipinski,B_MW,B_ALogP/XLogP,B_PSA,B_#RotBonds,B_Arom Rings,B_Heavy atoms,B_QED
MFM-223,AKT_1,BCL2_BCL2L1,1,1,0.445543834,1.8850749,49.70132704,0.310130493,0.7834606,0,6,3.24,3,0,407.5,3.42,83.6,3,3,31,0.7,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
M14,AKT_1,BCL2_BCL2L1,1,1,0.035530311,0.7471279,14.98180494,0.276115373,10,86.49988504,6,3.24,3,0,407.5,3.42,83.6,3,3,31,0.7,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
647-V,ATR_4,BCL2_BCL2L1,3,3,1.758557277,0.8117828,37.69021163,3,10,60.80000682,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
BFTC-905,ATR_4,BCL2_BCL2L1,3,3,0.504078417,0.7310427,54.3154468,1.041598657,10,18.89792382,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
HT-1376,ATR_4,BCL2_BCL2L1,3,3,2.311497739,1.0805992,0,1.065948831,10,34.59787514,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
J82,ATR_4,BCL2_BCL2L1,3,3,3,0.2341913,43.98645633,2.118242875,0.9737353,0,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
TCCSUP,ATR_4,BCL2_BCL2L1,3,3,1,0,100,0.865694595,4.0161196,32.74673323,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
UM-UC-3,ATR_4,BCL2_BCL2L1,3,3,3,0.6417365,8.89682002,0.915421913,2.4349532,45.0174881,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745
CAL-51,BCL2_BCL2L1,FGFR,1,1,0.086902541,10,85.79987976,1,1.1658267,70.90039986,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
CAMA-1,BCL2_BCL2L1,FGFR,1,1,1,0,100,0.105461158,1.723859,86.6396931,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
HCC1143,BCL2_BCL2L1,FGFR,1,1,1,0,100,0.939150064,1.1566328,0,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
HCC1428,BCL2_BCL2L1,FGFR,1,1,1,0,100,0.122336756,0.8280712,0,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
HCC1806,BCL2_BCL2L1,FGFR,1,1,1,0,100,1,0,100,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
HCC38,BCL2_BCL2L1,FGFR,1,1,0.29886284,0.9330617,59.72176102,0.184502861,3.3917336,8.58565217,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
HCC70,BCL2_BCL2L1,FGFR,1,1,1,0,100,1,0,100,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
Hs-578-T,BCL2_BCL2L1,FGFR,1,1,1,0,100,0.11967377,10,76.75004669,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
MDA-MB-157,BCL2_BCL2L1,FGFR,1,1,0.037093032,2.8484106,38.6222167,1,0,100,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
MDA-MB-436,BCL2_BCL2L1,FGFR,1,1,0.350221273,10,94.29983588,0.262555979,10,92.79908735,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
MDA-MB-453,BCL2_BCL2L1,FGFR,1,1,0.239883725,10,30.28644707,1,0,100,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
MDA-MB-468,BCL2_BCL2L1,FGFR,1,1,1,0,100,0.495946381,2.1740696,65.67246133,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,8,4.43,3,0,463.6,4.2,91.51,8,4,34,0.46
BT-20,BCL2_BCL2L1,MAP2K_1,1,1,0.115954315,0.7561764,47.76404012,0.38505742,10,80.29858774,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
BT-549,BCL2_BCL2L1,MAP2K_1,1,1,0.110053864,0.7629776,86.23786178,0.30952187,10,85.79984277,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
CAL-51,BCL2_BCL2L1,MAP2K_1,1,1,0.656250671,0.6887323,75.01603661,1,0.8263565,68.08647424,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
CAMA-1,BCL2_BCL2L1,MAP2K_1,1,1,1,1.7409803,83.40287163,1,0.6424804,81.22544558,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
DU-4475,BCL2_BCL2L1,MAP2K_1,1,1,0.017093304,1.6576022,0,0.006158834,10,0.52499724,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
HCC1187,BCL2_BCL2L1,MAP2K_1,1,1,0.011109779,0.9663252,51.45662141,1,0,100,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
HCC1395,BCL2_BCL2L1,MAP2K_1,1,1,0.043281137,1.8604483,85.30959752,1,0,100,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
HCC1806,BCL2_BCL2L1,MAP2K_1,1,1,0.375405246,0.9950644,11.05363022,1,0,100,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
MDA-MB-231,BCL2_BCL2L1,MAP2K_1,1,1,0.873365868,0.6010485,0,1,0.7631534,10.41841247,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
MFM-223,BCL2_BCL2L1,MAP2K_1,1,1,1,0,100,0.330207435,10,63.89943574,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
M14,BCL2_BCL2L1,MAP2K_1,1,1,0.26702757,0.6987678,0,0.083722364,0.5565502,0,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
BT-20,BCL2_BCL2L1,PIK3CA_4,1,1,0.344559465,1.2972852,55.86337031,1,1.4510167,55.20048489,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,2.13,3,0,441.5,2.83,129.45,5,2,30,0.74
CAL-148,BCL2_BCL2L1,PIK3CA_4,1,1,0.293728322,10,61.99975369,0.665989072,0.9116253,0,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,2.13,3,0,441.5,2.83,129.45,5,2,30,0.74
CAL-51,BCL2_BCL2L1,PIK3CA_4,1,1,0.347185203,10,70.79925688,0.38250735,2.8835485,93.9442657,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,2.13,3,0,441.5,2.83,129.45,5,2,30,0.74
CAMA-1,BCL2_BCL2L1,PIK3CA_4,1,1,1,0,100,0.311717485,10,88.89984564,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,2.13,3,0,441.5,2.83,129.45,5,2,30,0.74
HCC1143,BCL2_BCL2L1,PIK3CA_4,1,1,1,0.6831222,50.05833304,1,0.9580349,10.91934187,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,2.13,3,0,441.5,2.83,129.45,5,2,30,0.74
HCC1395,BCL2_BCL2L1,PIK3CA_4,1,1,1,1.0377275,83.80693845,1,0.3926973,79.89520902,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,2.13,3,0,441.5,2.83,129.45,5,2,30,0.74
HCC1428,BCL2_BCL2L1,PIK3CA_4,1,1,0.26558024,10,93.39756652,0.101600797,0.7225156,0,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,2.13,3,0,441.5,2.83,129.45,5,2,30,0.74
HCC1806,BCL2_BCL2L1,PIK3CA_4,1,1,0.332839725,10,67.09943035,1,0,100,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,2.13,3,0,441.5,2.83,129.45,5,2,30,0.74
HCC1937,BCL2_BCL2L1,PIK3CA_4,1,1,0.3378175,10,92.29984776,0.354108688,1.8179878,70.99059652,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,2.13,3,0,441.5,2.83,129.45,5,2,30,0.74
MDA-MB-231,BCL2_BCL2L1,PIK3CA_4,1,1,1,10,94.80009911,0.306949426,10,61.39968341,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,2.13,3,0,441.5,2.83,129.45,5,2,30,0.74
MDA-MB-453,BCL2_BCL2L1,PIK3CA_4,1,1,0.208745312,0.9206058,0,0.320005484,10,87.49985281,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,2.13,3,0,441.5,2.83,129.45,5,2,30,0.74
MDA-MB-468,BCL2_BCL2L1,PIK3CA_4,1,1,1,0,100,0.322252115,1.0192265,43.67631531,11,9.62,4,3,945.5,5.26758,163.0735,11.998,2.863,60.903,0.20745,7,2.13,3,0,441.5,2.83,129.45,5,2,30,0.74
BT-20,AKT,BCL2L1,3,3,0.109376563,2.3926785,90.05700742,0.379082606,1.4785709,28.06385303,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
BT-474,AKT,BCL2L1,3,3,0.288792188,10,76.09960907,0.294129015,1.620343,4.16270981,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
EVSA-T,AKT,BCL2L1,3,3,1,0,100,0.000678432,9.8519882,0.64,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
HCC1187,AKT,BCL2L1,3,3,3,0.232685,5.16660405,0.380705269,2.5314974,11.49714194,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
HCC1569,AKT,BCL2L1,3,3,0.061806783,0.6390155,32.92658547,1.311435443,0.4190022,0,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
HCC70,AKT,BCL2L1,3,3,0.000407621,0.1675839,0,0.030977834,0.8046449,0,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
MDA-MB-415,AKT,BCL2L1,3,3,3,0.4529411,49.52975836,0.001308283,0.4264885,6.68230761,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
MDA-MB-436,AKT,BCL2L1,3,3,0.027464066,10,92.64999564,1.76847899,0.3790732,4.10218032,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
T47D,AKT,BCL2L1,3,3,0.161468474,5.3007291,92.00317472,0.146388742,1.393379,31.90377928,8,1.18,5,0,428.9,1.32,120.16,6,3,30,0.57,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
BT-20,AKT_1,BCL2L1,3,3,0.007812111,0.6804907,65.45445023,3,0.6502108,0,6,3.24,3,0,407.5,3.42,83.6,3,3,31,0.7,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
BT-474,AKT_1,BCL2L1,3,3,0.423107269,2.5531691,68.03694944,0.233787901,1.8279039,8.83725309,6,3.24,3,0,407.5,3.42,83.6,3,3,31,0.7,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
EVSA-T,AKT_1,BCL2L1,3,3,1,0,100,0.457121517,2.1069083,11.83544214,6,3.24,3,0,407.5,3.42,83.6,3,3,31,0.7,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
HCC1569,AKT_1,BCL2L1,3,3,0.094450979,0.7823712,30.87167874,0.864395116,0.3985121,0,6,3.24,3,0,407.5,3.42,83.6,3,3,31,0.7,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
HCC1954,AKT_1,BCL2L1,3,3,0.13800224,0.2968474,43.9310556,1.910247891,0.8508443,0,6,3.24,3,0,407.5,3.42,83.6,3,3,31,0.7,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
HCC70,AKT_1,BCL2L1,3,3,0.090415956,2.8001541,2.60818403,0.003248405,0.1,78.0796305,6,3.24,3,0,407.5,3.42,83.6,3,3,31,0.7,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
MCF7,AKT_1,BCL2L1,3,3,0.232634265,2.1381548,86.61558194,0.17704523,0.4382804,19.59474044,6,3.24,3,0,407.5,3.42,83.6,3,3,31,0.7,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
MDA-MB-468,AKT_1,BCL2L1,3,3,0.095584334,10,76.43322239,0.259629903,3.0150586,73.48494049,6,3.24,3,0,407.5,3.42,83.6,3,3,31,0.7,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
T47D,AKT_1,BCL2L1,3,3,3,0.3468108,72.86591562,0.044043765,0.7950743,28.51331673,6,3.24,3,0,407.5,3.42,83.6,3,3,31,0.7,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355
HCC1419,BCL2L1,MTOR_1,1,3,0.160451529,0.9186353,4.14597185,0.080640997,0.9479371,60.60283584,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
HCC1569,BCL2L1,MTOR_1,1,3,0.186072845,0.4549854,0,0.098668909,1.0751946,39.66782241,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
HCC1954,BCL2L1,MTOR_1,1,3,0.06219999,1.0256925,10.32731862,0.023027469,2.4676328,70.47325729,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
MCF7,BCL2L1,MTOR_1,1,3,0.061680182,0.9339844,5.04652955,0.041437451,10,79.82551243,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
MDA-MB-157,BCL2L1,MTOR_1,1,3,0.258991515,0.5886233,0,0.0003,0.1,77.66766928,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
MDA-MB-361,BCL2L1,MTOR_1,1,3,0.14547154,0.9251514,32.38031123,0.205472711,0.7142685,54.61687576,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
MDA-MB-415,BCL2L1,MTOR_1,1,3,0.059965109,1.5616246,21.46959385,1.091914716,0.4694411,65.19742341,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
T47D,BCL2L1,MTOR_1,1,3,0.074959784,0.9710652,19.14013027,0.037639135,1.4405554,84.87060938,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,9,2.47,1,0,462.6,3.1,92.71,4,3,32,0.63
CAMA-1,BCL2L1,PIK3C,3,3,1.192237492,10,31.29324836,1,0,100,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
HCC1187,BCL2L1,PIK3C,3,3,0.321926044,1.0492901,11.22563531,0.016148778,0.2860604,50.41963922,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
HCC1395,BCL2L1,PIK3C,3,3,0.56076823,0.322064,0,0.001376845,9.4131296,73.63999998,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
HCC1569,BCL2L1,PIK3C,3,3,0.963147867,0.502882,0,0.072234694,0.7944569,33.53351635,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
HCC70,BCL2L1,PIK3C,3,3,0.065216931,0.1,3.23836737,0.00056706,0.1345482,0,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
MDA-MB-157,BCL2L1,PIK3C,3,3,0.587512471,0.7398923,49.41575379,0.0003,0.1,75.0420409,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
MDA-MB-415,BCL2L1,PIK3C,3,3,2.265453832,1.2784221,0,0.332035966,0.4828397,73.51217181,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
MDA-MB-468,BCL2L1,PIK3C,3,3,2.246117661,1.2775293,0,2.79829453,0.3572876,47.94935379,9,3.05,2,1,651.8,2.68134,102.31839,5.187,2.401,35.697,0.54355,10,2.63,1,1,513.6,2.15,144.17,5,4,35,0.43
CAMA-1,BRAF_M2,MAP2K_1,3,3,3,0.3932891,71.15963267,3,0.3675118,58.96374424,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
EVSA-T,BRAF_M2,MAP2K_1,3,0.1,3,0.1193941,73.90826896,0.1,0.3177125,73.9792447,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
HCC1187,BRAF_M2,MAP2K_1,3,3,3,0.5658762,38.44513504,1,0,100,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
HCC1419,BRAF_M2,MAP2K_1,3,3,1.050990707,0.6437888,55.35125074,3,0.7290686,60.67702856,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
HCC1569,BRAF_M2,MAP2K_1,3,3,0.0003,0.1,72.40113494,0.004632136,0.2312904,65.08473665,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
MDA-MB-436,BRAF_M2,MAP2K_1,3,3,1,0,100,1.625754376,2.3749876,72.62463969,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
MDA-MB-453,BRAF_M2,MAP2K_1,3,3,1.003520915,10,88.59978677,3,0.9619627,67.31247174,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
MDA-MB-468,BRAF_M2,MAP2K_1,3,3,0.167283874,0.5630047,79.90321401,0.453331959,2.6443843,52.06167971,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
T47D,BRAF_M2,MAP2K_1,3,3,0.831809822,0.7208278,69.9298411,0.977072961,2.6412161,80.55054839,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,7,3.88,3,0,457.7,3.23,88.41,6,3,27,0.39
A549,BRAF_M2,MAP2K_3,0.3,3,0.012641781,1.1560554,6.14699782,3,10,65.20000689,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
BT-20,BRAF_M2,MAP2K_3,0.3,3,0.003411947,0.5274643,67.6512679,1.06818568,2.0282185,78.52672667,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
Calu-3,BRAF_M2,MAP2K_3,0.3,3,0.155112681,0.701896,0,1,0,100,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
DMS-114,BRAF_M2,MAP2K_3,0.3,3,0.165001855,0.555248,0,3,0.5653785,30.62164251,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
EVSA-T,BRAF_M2,MAP2K_3,0.3,0.1,0.007778913,0.1,68.31563289,0.1,0.2399212,63.83422167,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
HCC1569,BRAF_M2,MAP2K_3,0.3,3,0.3,0.3520697,38.10997515,0.015350054,0.4407441,65.1430893,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
MDA-MB-157,BRAF_M2,MAP2K_3,0.3,3,0.173057615,0.2197455,0,1.438426523,0.2735638,42.90651889,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
MDA-MB-436,BRAF_M2,MAP2K_3,0.3,3,0.046794213,0.9521126,70.24620849,0.52404971,1.5550659,76.83242882,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
MDA-MB-453,BRAF_M2,MAP2K_3,0.3,3,0.072312474,1.566113,26.5371895,1.30996117,10,87.29679978,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
NCI-H1299,BRAF_M2,MAP2K_3,0.3,3,0.006957615,0.6164439,6.45667406,3,1.0772197,18.87812552,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
NCI-H1437,BRAF_M2,MAP2K_3,0.3,3,0.005212245,0.2878306,0,3,0.1,60.4799193,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
NCI-H1703,BRAF_M2,MAP2K_3,0.3,1,0.3,0.2491917,29.12414135,0.104290893,1.7876139,21.77612961,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
NCI-H1793,BRAF_M2,MAP2K_3,0.3,3,0.002611377,0.4234972,15.77893979,3,1.1229202,41.09731574,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
NCI-H2170,BRAF_M2,MAP2K_3,0.3,3,0.3,0.2831995,26.88542267,0.000351302,0.1,92.37039092,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
NCI-H3122,BRAF_M2,MAP2K_3,0.3,3,0.00573492,0.6151613,0,2.673238296,0.7353728,5.63418238,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
NCI-H520,BRAF_M2,MAP2K_3,0.3,3,0.073056106,3.2201224,82.00749108,1,0,100,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
T47D,BRAF_M2,MAP2K_3,0.3,3,0.002001658,0.6616433,83.1959514,0.513231659,1.6093054,82.87951947,8,3.79083,2,0.05,453.4,3.5,86.7,4,3.008,33,0.59566,9,4.98,2,1,615.4,3.18,102.06,5,2,37,0.5
Calu-6,ATR_4,CarboTaxol,0.01,3,0.002122034,3.7784982,21.87725567,2.985726654,3.3226092,0,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657,14,5.00053,4,2.191,853.9,2.5,221,14,2.576,62,0.22149
CAMA-1,ATR_4,CarboTaxol,0.1,3,0.016577816,1.124557,15.48565007,3,10,61.40007472,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657,14,5.00053,4,2.191,853.9,2.5,221,14,2.576,62,0.22149
DMS-114,ATR_4,CarboTaxol,0.01,3,0.001788593,2.9318653,10.63963379,1.060264718,10,41.29821348,8,0.59,2,0,412.5,0.88524,100.85832,3.173,2.574,28.522,0.6657,14,5.00053,4,2.191,853.9,2.5,221,14,2.576,62,0.22149
