,CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,A_HBA,A_cLogP,A_HBD,A_Lipinski,A_MW,A_ALogP/XLogP,A_PSA,A_#RotBonds,A_Arom Rings,A_Heavy atoms,A_QED,B_HBA,B_cLogP,B_HBD,B_Lipinski,B_MW,B_ALogP/XLogP,B_PSA,B_#RotBonds,B_Arom Rings,B_Heavy atoms,B_QED,GEX_CLUSTER,ORIGIN_CLUSTER,THERAPY_CLUSTER,Target_share,Target_interaction
2037,MDA-MB-468,PARP1,PIK3CB_PIK3CD,1.0,3.0,1.0,1.3027699,67.12176171,1.478427049,1.4459764,0.0,12.63891,7.0,1.24,1.0,0.0,434.5,2.13,82.08,4.0,2.0,32.0,0.8,7.0,1.67,1.0,0.0,457.5,1.43671,99.50709,4.289,2.737,30.49,0.62948,1,1,0,0,0.4741152631578947
125,HCC1395,AKT,ALK_IGFR,1.0,1.0,0.320181531,10.0,43.39935407,0.330466472,1.241678,50.46136818,28.49871,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,7.0,4.08,4.0,0.0,449.0,2.75692,97.43558,4.9030000000000005,2.427,30.291,0.61224,3,1,2,0,0.4992498748122183
1653,SW620,IAP,IGFR_3,3.0,1.0,1.0,0.0,100.0,1.0,0.0,100.0,-5.997694,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,6.0,4.0,3.0,0.0,421.5,2.7773,91.72071,3.953,2.456,29.916,0.67374,6,0,1,0,0.4771972789115646
524,M14,AKT_SGK,PIK3C,1.0,1.0,0.379641661,10.0,63.09770427,1.0,10.0,87.0001444,11.83184,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,4,0,1,0,0.9989999999999999
1678,NCI-H747,IAP,PARP1,10.0,1.0,1.704920372,0.5941126999999999,28.79123263,0.79916182,0.2337676,0.0,20.63351,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,7.0,1.24,1.0,0.0,434.5,2.13,82.08,4.0,2.0,32.0,0.8,1,0,3,0,0.4738862559241706
1571,CAMA-1,FGFR,SLC16A4,1.0,1.0,0.332365766,10.0,94.69991215,1.0,10.0,90.00022634,-7.385175,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,2,1,1,0,0.0
893,CAMA-1,BCL2_BCL2L1,MAP2K_1,1.0,1.0,1.0,1.7409803,83.40287163,1.0,0.6424804000000001,81.22544558,12.95588,11.0,9.62,4.0,3.0,945.5,5.36446,158.48754,11.564,2.847,60.555,0.19713,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,2,1,1,0,0.49949999999999994
1388,HT-1197,ERBB,MTOR_1,3.0,3.0,0.285330744,10.0,57.44973408,1.0,0.0,100.0,-11.10421,8.0,4.51,2.0,0.0,473.9,3.49,88.61,7.0,3.0,33.0,0.54,9.0,2.47,1.0,0.0,462.6,3.1,92.71,4.0,3.0,32.0,0.63,1,3,1,0,0.986
1416,HCC1187,ESR1,FGFR,1.0,1.0,1.0,10.0,91.80002355,1.0,0.0,100.0,2.281585,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,7,1,1,0,0.48536078229541946
1756,NCI-H520,IAP,TNF,0.1,3.0,1.0,0.0,100.0,1.0,0.0,100.0,81.74721,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,7.0,1.85392,2.0,0.021,421.4,0.5,102.0,3.0,2.804,31.0,0.65147,7,2,1,0,0.9770000000000001
11,MDA-MB-231,ADAM17,AKT,1.0,75.0,1.0,10.0,67.00001656,1.0,0.0,100.0,13.21102,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,3,1,1,0,0.45123519645821814
687,NCI-H520,ATR_4,CarboTaxol,0.01,3.0,0.002626515,2.0648452,30.02519196,1.052415481,10.0,74.39927017,-22.20968,8.0,0.59,2.0,0.0,412.5,1.03667,101.15997,3.247,2.574,29.574,0.65759,14.0,5.0948699999999985,4.0,2.282,853.9,2.5,221.0,14.0,2.552,62.0,0.21141,7,2,2,0,0.0
90,SW900,ADAM17,PIK3C,3.0,10.0,0.8297676540000001,0.8372511999999999,19.32602658,10.0,1.4708023,54.91031182,11.75751,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,3,2,2,0,0.49549545913218973
1143,NCI-H2291,CHEK1,IAP,3.0,1.0,0.85851605,10.0,74.79904597,0.199710069,2.3361085,14.20267663,22.00043,6.0,3.11,5.0,0.0,362.4,2.01,124.49,4.0,2.0,25.0,0.67,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,3,2,0,0,0.7300000000000001
1303,MFM-223,EGFR,FGFR,1.0,0.1,0.245902906,0.5030193000000001,0.0,1.0,0.0,100.0,-0.4352172,8.0,4.49,2.0,0.0,485.9,3.92,88.61,8.0,3.0,34.0,0.47,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,2,1,2,0,0.48536078229541946
2125,HCC70,PIK3CB_PIK3CD,SLC16A4,1.0,1.0,0.356637244,10.0,92.69975518,0.122976438,0.9772042,0.0,12.66288,7.0,1.67,1.0,0.0,457.5,1.43671,99.50709,4.289,2.737,30.49,0.62948,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,1,1,0,0,0.0
284,HCC1143,AKT,PIK3C_2,1.0,1.0,0.325688887,10.0,55.79939896,1.0,0.6648642,40.45802375,-18.28101,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,8.0,1.58,2.0,0.0,410.4,2.34,89.63,4.0,2.0,29.0,0.82,1,1,0,0,0.9989999999999999
684,NCI-H2291,ATR_4,CarboTaxol,0.3,3.0,0.0044995370000000005,1.1127223999999998,53.21374427,1.307301398,10.0,48.58730825,23.43637,8.0,0.59,2.0,0.0,412.5,1.03667,101.15997,3.247,2.574,29.574,0.65759,14.0,5.0948699999999985,4.0,2.282,853.9,2.5,221.0,14.0,2.552,62.0,0.21141,3,2,0,0,0.0
297,HCC1187,AKT,PIK3CA_4,1.0,1.0,0.155579677,1.4474161,51.59351453,1.0,0.8931201999999999,20.73036674,2.609344,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,7.0,2.13,3.0,0.0,441.5,2.83,129.45,5.0,2.0,30.0,0.74,7,1,0,0,0.9989999999999999
679,NCI-H1563,ATR_4,CarboTaxol,0.003,3.0,0.001153187,1.5819413,0.0,3.0,10.0,22.40222186,-42.298,8.0,0.59,2.0,0.0,412.5,1.03667,101.15997,3.247,2.574,29.574,0.65759,14.0,5.0948699999999985,4.0,2.282,853.9,2.5,221.0,14.0,2.552,62.0,0.21141,3,2,3,0,0.0
2018,SW780,PARP1,PIK3C,3.0,3.0,3.0,10.0,83.80063667,1.0,0.0,100.0,-13.53915,7.0,1.24,1.0,0.0,434.5,2.13,82.08,4.0,2.0,32.0,0.8,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,1,3,1,0,0.47593867924528305
2019,T-24,PARP1,PIK3C,3.0,3.0,1.029428447,10.0,49.29882234,2.992810035,10.0,0.0,-20.87728,7.0,1.24,1.0,0.0,434.5,2.13,82.08,4.0,2.0,32.0,0.8,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,3,3,0,0,0.47593867924528305
1386,HCC1954,ERBB,MTOR_1,1.0,3.0,0.075034799,3.7403569,18.84746036,0.111944978,0.8956798,29.2321781,58.95993000000001,8.0,4.51,2.0,0.0,473.9,3.49,88.61,7.0,3.0,33.0,0.54,9.0,2.47,1.0,0.0,462.6,3.1,92.71,4.0,3.0,32.0,0.63,1,1,3,0,0.986
721,DU-4475,ATR_4,MAP2K_1,1.0,1.0,0.013350709,2.8734309,0.2001511,0.112265784,1.7533554,0.0,-13.59996,8.0,0.59,2.0,0.0,412.5,1.03667,101.15997,3.247,2.574,29.574,0.65759,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,6,1,3,0,0.3065048441677199
1220,NCI-H358,CSNK2A1_2,PIK3CA_3,3.0,0.1,0.7843846459999999,4.8130651,78.76662383,0.01090093,3.3311322,15.73507229,21.875770000000006,10.0,2.12,5.0,0.0,419.5,1.36,136.39,8.0,3.0,31.0,0.43,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,1,2,0,0,0.41310901591043014
1977,MFM-223,MTOR_1,PIK3CA_4,1.0,1.0,0.249242678,1.1141289,30.64674664,0.199827677,1.4053835,17.771698999999995,21.9132,9.0,2.47,1.0,0.0,462.6,3.1,92.71,4.0,3.0,32.0,0.63,7.0,2.13,3.0,0.0,441.5,2.83,129.45,5.0,2.0,30.0,0.74,2,1,3,0,0.9509999999999998
2030,HCC38,PARP1,PIK3CB_PIK3CD,1.0,3.0,1.0,10.0,88.20005443,0.927097891,10.0,83.39972845,1.844097,7.0,1.24,1.0,0.0,434.5,2.13,82.08,4.0,2.0,32.0,0.8,7.0,1.67,1.0,0.0,457.5,1.43671,99.50709,4.289,2.737,30.49,0.62948,3,1,1,0,0.4741152631578947
849,MDA-MB-231,BCL2_BCL2L1,FASN,1.0,1.0,0.32422606600000003,10.0,92.6999006,1.0,0.7587807,17.16523206,25.91807,11.0,9.62,4.0,3.0,945.5,5.36446,158.48754,11.564,2.847,60.555,0.19713,6.0,4.8,0.0,0.0,462.6,4.4,64.16,5.0,5.0,35.0,0.39,3,1,0,0,0.47978772112382934
1987,MDA-MB-157,MTOR_1,SLC16A4,1.0,1.0,0.188911965,10.0,83.16594858,0.122660309,2.1005501,58.01487515,-5.522929,9.0,2.47,1.0,0.0,462.6,3.1,92.71,4.0,3.0,32.0,0.63,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,4,1,1,0,0.0
1095,NCI-H520,BRAF_M2,MAP2K_3,0.3,3.0,0.073056106,3.2201224,82.00749108,1.0,0.0,100.0,104.7569,8.0,3.85907,2.0,0.045,453.4,3.5,86.7,4.0,3.022,33.0,0.59706,9.0,4.98,2.0,1.0,615.4,3.18,102.06,5.0,2.0,37.0,0.5,7,2,1,0,0.0
308,CAL-148,AKT,PIP5K1,1.0,1.0,1.0,0.0,100.0,0.171128841,1.5654397,0.20882482,9.311391,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,2,1,0,0,0.48055792207792203
2013,MDA-MB-157,PARP1,PIK3C,1.0,3.0,0.037009349,2.1024215,73.51289771,1.207575592,0.7909182,0.0,24.968870000000006,7.0,1.24,1.0,0.0,434.5,2.13,82.08,4.0,2.0,32.0,0.8,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,4,1,0,0,0.47593867924528305
1978,BT-549,MTOR_1,SLC16A4,1.0,1.0,0.094686512,10.0,81.04974157,0.507771058,0.8562569,0.0,-13.05606,9.0,2.47,1.0,0.0,462.6,3.1,92.71,4.0,3.0,32.0,0.63,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,3,1,0,0,0.0
1336,NCI-H520,ERBB,FGFR,3.0,3.0,0.102621924,10.0,68.49976822,1.0,0.0,100.0,27.30015,8.0,4.51,2.0,0.0,473.9,3.49,88.61,7.0,3.0,33.0,0.54,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,7,2,1,0,0.48536078229541946
1422,MDA-MB-436,ESR1,FGFR,1.0,1.0,1.0,10.0,88.40019858,1.0,0.0,100.0,-16.33541,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,3,1,1,0,0.48536078229541946
499,HCC1428,AKT_SGK,FGFR,1.0,1.0,1.0,0.0,100.0,0.167006102,10.0,88.70370038,5.083751,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,2,1,1,0,0.48536078229541946
104,CAL-51,AKT,AKT_1,1.0,1.0,0.3503740870000001,2.8549052,61.35838442,0.7031337040000001,0.663661,0.0,-14.69828,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,6.0,3.24,3.0,0.0,407.5,3.42,83.6,3.0,3.0,31.0,0.7,3,1,0,1,1.0
972,NCI-H838,BCL2L1,CarboTaxol,0.01,3.0,0.002381071,10.0,3.4957863,1.0,0.0,100.0,10.43127,9.0,3.05,2.0,1.0,651.8,3.14611,95.52711,5.21,2.337,36.429,0.54288,14.0,5.0948699999999985,4.0,2.282,853.9,2.5,221.0,14.0,2.552,62.0,0.21141,3,2,2,0,0.0
1649,C32,IAP,IGFR_3,10.0,1.0,10.0,1.8133225,28.52260219,0.0006893730000000001,1.2984082,8.09378469,-7.399541,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,6.0,4.0,3.0,0.0,421.5,2.7773,91.72071,3.953,2.456,29.916,0.67374,4,0,3,0,0.4771972789115646
446,HCC1954,AKT_1,PIK3C,3.0,3.0,1.073519357,2.5361942,3.68825621,1.574165916,0.9541982,0.0,84.41957,6.0,3.24,3.0,0.0,407.5,3.42,83.6,3.0,3.0,31.0,0.7,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,1,1,3,0,0.9989999999999999
1065,NCI-H2170,BRAF_M2,MAP2K_1,3.0,3.0,0.338863638,10.0,81.59986735,1.0,0.0,100.0,30.5355,8.0,3.85907,2.0,0.045,453.4,3.5,86.7,4.0,3.022,33.0,0.59706,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,7,2,1,0,0.0
1818,RKO,JAK,MTOR,0.3,3.0,0.09634378,10.0,36.99926363,1.457962601,10.0,51.16413496,-16.49354,8.0,2.01,3.0,0.0,348.8,2.37,104.3,5.0,3.0,24.0,0.65,9.0,2.59,1.0,0.0,465.6,3.27,93.07,5.0,3.0,34.0,0.61,6,0,2,0,0.48845854657113613
28,CAL-148,ADAM17,FGFR,1.0,75.0,1.0,0.0,100.0,1.0,0.0,100.0,-48.27499,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,2,1,1,0,0.3261196480097746
745,KU-19-19,ATR_4,MTOR_1,1.0,3.0,1.0,10.0,70.00098951,2.882023023,10.0,0.0,-59.65656,8.0,0.59,2.0,0.0,412.5,1.03667,101.15997,3.247,2.574,29.574,0.65759,9.0,2.47,1.0,0.0,462.6,3.1,92.71,4.0,3.0,32.0,0.63,3,3,0,0,0.44207979910714285
611,NCI-H3122,ALK_2,TOP2,3.0,3.0,0.058824953,10.0,28.61402444,0.08813887699999999,1.5112005,0.0,73.32186999999998,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,4.0,5.44,0.0,1.0,413.5,5.4,67.0,2.0,4.0,30.0,0.44,1,2,3,0,0.32298761938450654
473,M14,AKT_1,PIK3CB_PIK3CD,1.0,1.0,0.563091136,1.6405266,0.0,0.33584772700000004,10.0,90.99980955,38.00554,6.0,3.24,3.0,0.0,407.5,3.42,83.6,3.0,3.0,31.0,0.7,7.0,1.67,1.0,0.0,457.5,1.43671,99.50709,4.289,2.737,30.49,0.62948,4,0,2,0,0.991
675,MCF7,ATR_4,CarboTaxol,0.01,3.0,0.00133026,3.8415632,32.05905458,0.31428237600000003,10.0,25.34950685,-6.973714,8.0,0.59,2.0,0.0,412.5,1.03667,101.15997,3.247,2.574,29.574,0.65759,14.0,5.0948699999999985,4.0,2.282,853.9,2.5,221.0,14.0,2.552,62.0,0.21141,7,1,3,0,0.0
1706,TCCSUP,IAP,PIK3C,1.0,0.03,0.354546906,1.9684013,49.66197667,0.000329688,0.7131896,74.00090929,29.79253,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,3,3,2,0,0.4972398190045249
647,647-V,ATR_4,BCL2_BCL2L1,3.0,3.0,1.758557277,0.8117828,37.69021163,3.0,10.0,60.80000682,6.567664999999999,8.0,0.59,2.0,0.0,412.5,1.03667,101.15997,3.247,2.574,29.574,0.65759,11.0,9.62,4.0,3.0,945.5,5.36446,158.48754,11.564,2.847,60.555,0.19713,1,3,2,0,0.41434797891036906
1049,COLO-205,BRAF_M2,MAP2K_1,1.0,3.0,0.074559796,0.9976353,0.0,0.563369895,0.8714278,0.0,54.02718,8.0,3.85907,2.0,0.045,453.4,3.5,86.7,4.0,3.022,33.0,0.59706,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,0,0,3,0,0.0
1727,NCI-H1299,IAP,PIK3CB,3.0,1.0,1.081035273,1.6201776,77.50007341,0.063852628,1.1648789,32.07884183,37.87168,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,5,2,0,0,0.4952498738011105
398,HCC70,AKT_1,EGFR,0.1,1.0,0.1,10.0,94.6000733,0.208934027,1.3842676,24.32719377,47.21543,6.0,3.24,3.0,0.0,407.5,3.42,83.6,3.0,3.0,31.0,0.7,8.0,4.49,2.0,0.0,485.9,3.92,88.61,8.0,3.0,34.0,0.47,1,1,0,0,0.49949999999999994
1190,HT-1376,Cisplatin,PIK3C,3.0,3.0,0.831707277,0.9455658,28.30289104,1.653189096,1.0144532,0.0,7.9922710000000015,33.0,6.8167399999999985,13.0,2.504,1428.0,6.53938,522.0,19.0,3.165,84.0,0.16984000000000002,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,1,3,3,0,0.0
1037,NCI-H2228,BRAF_M,MAP2K_1,3.0,3.0,3.0,0.3856553,12.20524804,0.0003,0.1,83.58540409,1.512657,8.0,2.08,4.0,0.0,498.5,1.35241,110.32436,4.996,2.559,33.011,0.5526,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,3,2,2,0,0.0
60,HCC1806,ADAM17,MTOR_1,1.0,75.0,0.347728705,1.2629858,0.0,1.0,0.0,100.0,48.54537,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,9.0,2.47,1.0,0.0,462.6,3.1,92.71,4.0,3.0,32.0,0.63,1,1,2,0,0.4949919191919192
309,CAMA-1,AKT,PIP5K1,1.0,1.0,0.400556318,10.0,90.49898961,0.126079252,1.3424664,12.49773864,4.095683,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,2,1,0,0,0.48055792207792203
1732,NCI-H226,IAP,PIK3CB,3.0,3.0,3.0,0.8690747,36.90021247,0.0003,0.1,12.92215099,35.57842,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,3,2,3,0,0.4952498738011105
855,CAMA-1,BCL2_BCL2L1,FGFR,1.0,1.0,1.0,0.0,100.0,0.105461158,1.723859,86.6396931,-24.96139,11.0,9.62,4.0,3.0,945.5,5.36446,158.48754,11.564,2.847,60.555,0.19713,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,2,1,1,0,0.4822715025906735
105,CAMA-1,AKT,AKT_1,1.0,1.0,0.204065844,1.4750579,47.97346672,0.18219236,2.529306,33.50489924,13.01508,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,6.0,3.24,3.0,0.0,407.5,3.42,83.6,3.0,3.0,31.0,0.7,2,1,0,1,1.0
1392,MDA-MB-361,ERBB,MTOR_1,1.0,3.0,0.130810333,1.6520345,27.81521214,0.300626836,0.8680601000000001,33.50743433,48.05224000000001,8.0,4.51,2.0,0.0,473.9,3.49,88.61,7.0,3.0,33.0,0.54,9.0,2.47,1.0,0.0,462.6,3.1,92.71,4.0,3.0,32.0,0.63,2,1,3,0,0.986
250,DU-4475,AKT,FGFR,1.0,1.0,1.0,0.0,100.0,0.33102375100000003,10.0,42.29905032,12.5369,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,6,1,0,0,0.48536078229541946
88,NCI-H520,ADAM17,PIK3C,1.0,10.0,0.308370462,1.5327566,22.9387506,0.001,0.1,91.95698696,0.007386935,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,7,2,2,0,0.49549545913218973
603,Calu-3,ALK_2,TOP2,3.0,3.0,1.0,0.0,100.0,2.891597725,10.0,0.0,-9.617122,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,4.0,5.44,0.0,1.0,413.5,5.4,67.0,2.0,4.0,30.0,0.44,1,2,0,0,0.32298761938450654
1261,Calu-3,Doxorubicin,TOP2,3.0,0.01,3.0,0.1020898,85.80801551,0.01,1.3159887,7.0981146,16.88129,12.0,0.32,7.0,3.0,543.5,-0.04,206.07,5.0,2.0,39.0,0.28,4.0,5.44,0.0,1.0,413.5,5.4,67.0,2.0,4.0,30.0,0.44,1,2,0,1,0.9980000000000001
1018,NCI-H1793,BCL2L1,Vinorelbine,0.1,3.0,0.020399404,4.6648181,14.451846599999998,2.725769826,0.5765762,13.16010543,27.19964,9.0,3.05,2.0,1.0,651.8,3.14611,95.52711,5.21,2.337,36.429,0.54288,12.0,5.94,2.0,3.0,778.9,5.4,133.87,10.0,3.0,57.0,0.2,3,2,3,0,0.0
1173,BFTC-905,Cisplatin,FGFR,3.0,3.0,3.0,0.3647978,19.4656817,0.659356921,2.2908871,0.21434784,23.23026,33.0,6.8167399999999985,13.0,2.504,1428.0,6.53938,522.0,19.0,3.165,84.0,0.16984000000000002,8.0,4.43,3.0,0.0,463.6,4.2,91.51,8.0,4.0,34.0,0.46,1,3,3,0,0.0
975,Calu-6,BCL2L1,IAP,1.0,3.0,0.0001,0.1,49.42616098,0.017069103999999998,1.5430734,69.50050453,62.02191,9.0,3.05,2.0,1.0,651.8,3.14611,95.52711,5.21,2.337,36.429,0.54288,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,3,2,2,0,0.0
2098,NCI-H838,PIK3CB,Topotecan,0.3,3.0,0.083221175,1.6185315,0.0,3.0,0.6942182,52.43138108,19.76374,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,8.0,0.73,2.0,0.0,421.5,1.58,103.2,3.0,2.0,31.0,0.73,3,2,2,0,0.45281923076923075
194,MDA-MB-468,AKT,CSNK2A1_2,0.1,3.0,0.026379576,10.0,2.99895356,2.405581047,10.0,0.0,73.59342,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,10.0,2.12,5.0,0.0,419.5,1.36,136.39,8.0,3.0,31.0,0.43,1,1,3,0,0.4987488721804511
1167,HCC70,Chloroquine,PIK3C,3.0,10.0,0.916835805,10.0,40.79954565,1.0,0.0,100.0,24.48868,3.0,3.02202,1.0,0.316,319.9,4.6,28.2,8.0,3.4610000000000003,22.0,0.57535,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,1,1,2,0,0.0
164,HCC1395,AKT,Chloroquine,10.0,3.0,1.6880815880000002,0.255378,0.0,0.092825489,0.1412925,0.0,-17.898789999999995,8.0,1.18,5.0,0.0,428.9,1.32,120.16,6.0,3.0,30.0,0.57,3.0,3.02202,1.0,0.316,319.9,4.6,28.2,8.0,3.4610000000000003,22.0,0.57535,3,1,3,0,0.0
1636,J82,HSP90,PARP1,3.0,3.0,2.877966138,2.0896536,76.43026797,0.122912986,3.039053,23.09056076,28.8805,5.0,2.26274,2.0,0.058,409.52,3.1,67.2,4.0,3.099,30.0,0.68058,7.0,1.24,1.0,0.0,434.5,2.13,82.08,4.0,2.0,32.0,0.8,3,3,0,0,0.48333247156153053
1705,SW948,IAP,PIK3C,10.0,1.0,0.435275428,1.6734703000000002,5.35029239,0.060761832,10.0,81.06056271,11.52239,4.511,0.37533,2.35,0.023,334.85592,0.64891,92.76332,3.068,2.597,23.849,0.63639,10.0,2.63,1.0,1.0,513.6,2.15,144.17,5.0,4.0,35.0,0.43,0,0,2,0,0.4972398190045249
1371,VM-CUB-1,ERBB,MAP2K_1,3.0,3.0,0.295626764,1.2074194,74.80007462,0.0003,0.1,60.12624545,67.79423,8.0,4.51,2.0,0.0,473.9,3.49,88.61,7.0,3.0,33.0,0.54,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,3,3,1,0,0.781
1341,HT-1197,ERBB,Gemcitabine,0.1,3.0,0.006651304,2.306687,25.65800649,1.0,0.0,100.0,-2.978066,8.0,4.51,2.0,0.0,473.9,3.49,88.61,7.0,3.0,33.0,0.54,6.0,0.8674700000000001,3.0,0.01,264.2,-0.9,121.0,2.0,1.7280000000000002,18.0,0.6238100000000001,1,3,2,0,0.2882141033871597
1600,BFTC-905,Gemcitabine,PARP1,3.0,0.1,3.0,0.486137,10.49450246,0.001534325,4.0143227,1.34639841,0.9178461,6.0,0.8674700000000001,3.0,0.01,264.2,-0.9,121.0,2.0,1.7280000000000002,18.0,0.6238100000000001,7.0,1.24,1.0,0.0,434.5,2.13,82.08,4.0,2.0,32.0,0.8,1,3,3,0,0.30562029250148465
1929,HT-29,MAP2K_1,TKI,3.0,3.0,3.0,0.2639249,63.96685585,0.093707971,1.1775495,19.83033601,65.47378,7.0,3.88,3.0,0.0,457.7,3.23,88.41,6.0,3.0,27.0,0.39,6.0,5.84,1.0,1.0,475.4,5.09,59.51,6.0,3.0,30.0,0.54,0,0,0,0,0.781
935,UM-UC-3,BCL2_BCL2L1,PIM1,3.0,3.0,1.0,0.0,100.0,0.575215059,0.6950514,28.74865914,39.24142,11.0,9.62,4.0,3.0,945.5,5.36446,158.48754,11.564,2.847,60.555,0.19713,5.0,3.18,3.0,0.0,379.5,3.28,100.72,3.0,2.0,27.0,0.8,3,3,0,0,0.4602044348296376
